id,position,form,team,price,pp_million,pp_mil_per_90,total_points,gw_points,minutes,bonus,goals_scored,assists,goals_conceded,own_goals,clean_sheets,saves,yellow_cards,red_cards,value_form,points_per_game,selected_by_percent,element_type,Name,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,9_xPts,10_xPts,11_xPts,12_xPts,13_xPts,total_xP,total_xM
467,Midfielder,3.3,West Ham,4.9,4.5,0.5625,22,2,720,2,0,2,9,0,2,0,2,0,0.7,2.8,4.3,3,Rice,83.67,83.67,83.67,83.67,83.67,2.95,3.06,2.82,2.26,3.22,14.31,418.35
468,Midfielder,2.3,West Ham,5.4,4.8,0.6,26,3,720,3,1,0,9,0,2,0,0,0,0.4,3.2,1.3,3,Soucek,78.24,78.24,78.24,78.24,78.24,3.77,4.06,3.66,2.62,4.29,18.4,391.2
469,Midfielder,1.7,West Ham,5.4,4.4,0.665546218487395,24,1,595,3,1,0,7,0,1,0,0,0,0.3,3.0,0.9,3,Fornals,65.21,65.21,65.21,65.21,65.21,3.23,3.46,3.14,2.32,3.64,15.790000000000001,326.04999999999995
471,Defender,0.0,West Ham,4.4,1.1,0.45622119815668205,5,0,217,0,0,0,3,0,0,0,0,0,0.0,1.2,0.1,2,Ben Johnson,6.32,14.21,14.21,14.21,14.21,0.38,0.68,0.59,0.4,0.76,2.8099999999999996,63.160000000000004
472,Defender,0.0,West Ham,4.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,Aguerd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,Goalkeeper,0.0,West Ham,4.4,0.2,0.29508196721311475,1,0,61,0,0,0,2,0,0,0,0,0,0.0,1.0,1.1,1,Areola,8.18,8.18,8.18,8.18,8.18,0.35,0.34,0.3,0.18,0.38,1.5499999999999998,40.9
509,Midfielder,0.0,West Ham,4.4,0.2,18.0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.3,3,Downes,0.39,0.39,0.39,0.39,0.39,0.03,0.03,0.03,0.03,0.03,0.15,1.9500000000000002
529,Forward,2.7,West Ham,6.7,1.9,0.7402597402597403,13,8,231,2,1,0,2,0,2,0,1,0,0.4,2.2,0.5,4,Scamacca,48.07,48.07,48.07,48.07,48.07,2.74,3.0,2.73,2.04,3.11,13.620000000000001,240.35
545,Defender,1.0,West Ham,4.0,1.0,0.5732484076433121,4,1,157,0,0,0,2,0,0,0,1,0,0.2,0.8,2.4,2,Emerson P,40.17,40.17,40.17,40.17,40.17,1.95,1.93,1.61,0.94,2.16,8.59,200.85000000000002
555,Defender,0.0,West Ham,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,2,Ashby,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25
556,Midfielder,0.0,West Ham,4.4,0.2,18.0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.1,3,Coventry,0.39,0.39,0.39,0.39,0.39,0.03,0.03,0.03,0.03,0.03,0.15,1.9500000000000002
571,Goalkeeper,0.0,West Ham,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,1,Randolph,0.18,0.18,0.18,0.18,0.18,0.01,0.01,0.01,0.0,0.01,0.04,0.8999999999999999
575,Midfielder,1.0,West Ham,5.9,0.8,0.8470588235294119,5,1,85,0,0,0,1,0,0,0,0,0,0.2,1.0,0.1,3,Cornet,10.53,10.53,10.53,10.53,10.53,0.92,0.96,0.9,0.75,1.0,4.529999999999999,52.65
588,Defender,4.0,West Ham,4.5,4.0,0.6666666666666667,18,10,540,1,0,1,6,1,2,0,2,0,0.9,3.0,0.2,2,Kehrer,70.17,70.17,70.17,70.17,70.17,3.14,3.03,2.5,1.46,3.43,13.559999999999999,350.85
603,Midfielder,2.3,West Ham,6.0,1.2,0.45188284518828453,7,3,239,0,0,0,2,0,1,0,1,0,0.4,1.8,1.3,3,Paqueta,68.68,68.68,68.68,68.68,68.68,3.86,4.2,3.76,2.65,4.43,18.9,343.40000000000003
476,Forward,0.0,Wolves,6.8,0.7,0.2985781990521327,5,0,211,0,0,0,2,0,1,0,0,0,0.0,1.7,0.3,4,Jimenez,0.0,11.79,30.32,53.5,66.83,0.0,0.5,1.84,2.45,3.74,8.530000000000001,162.44
477,Defender,2.3,Wolves,4.4,5.5,0.7001414427157001,24,1,707,0,0,0,9,0,3,0,1,0,0.5,3.0,0.8,2,Jonny,78.24,78.24,78.24,78.24,78.24,2.7,2.24,3.84,3.03,3.24,15.05,391.2
478,Goalkeeper,3.3,Wolves,5.0,7.8,0.9750000000000001,39,2,720,3,0,0,9,0,3,24,0,0,0.7,4.9,6.0,1,Sa,87.8,87.81,87.81,87.81,87.81,3.56,2.94,4.61,3.92,3.85,18.88,439.04
480,Midfielder,1.3,Wolves,5.5,4.4,0.55,24,1,720,5,1,0,9,0,3,0,5,0,0.2,3.0,2.0,3,Neves,82.79,64.57,71.86,72.71,74.64,2.95,1.98,3.18,2.5,2.95,13.559999999999999,366.57
481,Midfielder,0.7,Wolves,5.7,1.8,0.8804347826086957,10,0,184,0,0,1,3,0,0,0,0,0,0.1,1.7,0.2,3,Hwang,29.47,18.42,12.63,12.63,12.63,1.72,1.17,1.17,1.0,1.11,6.17,85.78
482,Defender,0.7,Wolves,5.0,1.2,0.41379310344827586,6,1,261,0,0,0,3,0,0,0,1,0,0.1,1.0,0.2,2,Semedo,49.21,49.21,49.21,46.36,46.36,2.02,1.75,2.74,2.08,2.21,10.8,240.35000000000002
483,Midfielder,5.0,Wolves,5.5,5.5,0.99,30,2,500,6,2,0,8,0,2,0,1,0,0.9,3.8,1.2,3,Podence,52.17,42.07,33.16,30.32,27.63,2.48,1.88,2.28,1.78,1.91,10.329999999999998,185.35
484,Defender,2.7,Wolves,4.5,6.4,0.8,29,1,720,4,0,0,9,0,3,0,0,0,0.6,3.6,2.0,2,Kilman,85.43,85.43,85.43,84.55,84.55,2.81,2.39,3.97,3.18,3.29,15.64,425.39000000000004
486,Midfielder,2.0,Wolves,5.1,3.5,0.525,18,1,600,0,0,0,6,0,4,0,1,0,0.4,2.2,4.4,3,P Neto,69.91,69.91,69.91,69.91,69.91,3.16,2.67,4.09,3.09,3.8,16.81,349.54999999999995
487,Defender,2.7,Wolves,4.3,3.5,0.5833333333333334,15,1,540,0,0,0,8,1,2,0,1,0,0.6,2.1,1.1,2,Ait-Nouri,56.93,56.93,56.93,55.31,55.31,2.2,1.9,3.02,2.37,2.5,11.989999999999998,281.40999999999997
489,Defender,0.0,Wolves,3.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2,Toti,78.93,78.93,78.93,8.84,8.84,2.29,1.87,3.3,0.33,0.34,8.13,254.47000000000003
490,Midfielder,0.0,Wolves,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,Chiquinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,Midfielder,1.0,Wolves,5.5,1.1,0.8319327731092437,6,2,119,0,0,0,2,0,0,0,0,0,0.2,1.2,0.2,3,A Traore,14.21,14.21,14.21,14.21,14.21,1.1,1.02,1.25,1.09,1.2,5.66,71.05000000000001
492,Goalkeeper,0.0,Wolves,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.7,1,Sarkic,1.84,1.84,1.84,1.84,1.84,0.07,0.06,0.09,0.07,0.07,0.36000000000000004,9.200000000000001
494,Defender,0.0,Wolves,3.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1,2,Mosquera,12.63,12.63,12.63,3.55,3.55,0.4,0.34,0.56,0.15,0.15,1.5999999999999999,44.989999999999995
503,Midfielder,1.7,Wolves,4.8,2.3,0.408284023668639,11,1,507,0,0,0,6,0,2,0,2,0,0.4,1.8,0.5,3,Moutinho,80.4,83.67,82.57,81.48,80.4,2.62,2.43,3.3,2.66,2.95,13.96,408.52
516,Defender,2.0,Wolves,4.5,5.6,0.881118881118881,25,0,572,6,0,0,7,0,3,0,1,1,0.4,3.6,1.1,2,Collins,0.0,0.0,0.0,84.55,84.55,0.0,0.0,0.0,3.13,3.33,6.46,169.1
